name,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR
Wick (New Earth),Bad Characters,,,Male Characters,,1,2009
William von Hammer (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,1,2009
Ace of Spades VI (New Earth),Bad Characters,,Black Hair,Female Characters,,1,2008
Agrippe (New Earth),Good Characters,,Red Hair,Female Characters,,1,2008
Clot (New Earth),Bad Characters,Black Eyes,Green Hair,Male Characters,,1,2008
Doctor Mephistopheles (New Earth),Neutral Characters,,,Male Characters,,1,2008
Elisabeth Saint-Marie (New Earth),Good Characters,,,Female Characters,,1,2008
Falseface (New Earth),Bad Characters,Blue Eyes,Brown Hair,Female Characters,,1,2008
Gennes (New Earth),Good Characters,,Brown Hair,Female Characters,,1,2008
Gluttony II (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,1,2008
Hammond Carter (New Earth),Bad Characters,,,Male Characters,,1,2008
Harriet Pratt (New Earth),Bad Characters,,,Female Characters,,1,2008
Jack (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,1,2008
James (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,1,2008
Koko (New Earth),Neutral Characters,,White Hair,Male Characters,,1,2008
Layla Adams (New Earth),,,Brown Hair,Female Characters,,1,2008
Lewis Yarnell (New Earth),Bad Characters,,,Male Characters,,1,2008
Margaux de Mortain (New Earth),Good Characters,,Blond Hair,Female Characters,,1,2008
Mike Virgil (New Earth),,Blue Eyes,Grey Hair,Male Characters,,1,2008
Raymond Gibson (New Earth),,,,Male Characters,,1,2008
Recca (New Earth),Bad Characters,,Black Hair,Female Characters,,1,2008
Skitch Benson (New Earth),Bad Characters,,,Male Characters,,1,2008
Sterling Fry (New Earth),Bad Characters,,Black Hair,Male Characters,,1,2008
Sun-Chained-In-Ink (New Earth),Bad Characters,,,Male Characters,,1,2008
Tyson Sykes (New Earth),Good Characters,,Black Hair,Male Characters,,1,2008
Victor Sono (New Earth),Bad Characters,,,Male Characters,,1,2008
White Star (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,2008
Zevonn Parzzx (New Earth),Good Characters,,White Hair,Male Characters,,1,2008
Anaea (New Earth),,,,Female Characters,,1,2007
Bizarro Aquaman (New Earth),Neutral Characters,,Blond Hair,Male Characters,,1,2007
Bizarro Green Arrow (New Earth),Bad Characters,,Blond Hair,Male Characters,,1,2007
Bizarro Robin (New Earth),Bad Characters,,Black Hair,Male Characters,,1,2007
Bizarro Toyman (New Earth),Bad Characters,,Blond Hair,Male Characters,,1,2007
Dale Smith (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,1,2007
Damara (New Earth),,,,Female Characters,,1,2007
Eurybe (New Earth),,,,Female Characters,,1,2007
Gas Chamber (New Earth),Bad Characters,,,Male Characters,,1,2007
George Calderon (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,1,2007
Helene (New Earth),,,,Female Characters,,1,2007
Horus (New Earth),Good Characters,,,Male Characters,,1,2007
Impulse (New Earth),Bad Characters,,,Male Characters,,1,2007
Jack of Hearts II (New Earth),Bad Characters,,,Male Characters,,1,2007
Jackson Jones (New Earth),Bad Characters,Yellow Eyes,Brown Hair,Male Characters,,1,2007
Khyrana (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,1,2007
King of Hearts II (New Earth),Bad Characters,,,Male Characters,,1,2007
Laryn Nelson (New Earth),Good Characters,,Brown Hair,Female Characters,,1,2007
Marissa Nelson (New Earth),,,Brown Hair,Female Characters,,1,2007
Marta (New Earth),,,Brown Hair,Female Characters,,1,2007
Master Task (New Earth),Bad Characters,,,Male Characters,,1,2007
Max Roboto (New Earth),Bad Characters,,,Male Characters,,1,2007
Maxi-Man II (New Earth),Good Characters,Green Eyes,Blond Hair,Male Characters,,1,2007
Nina Close (New Earth),Bad Characters,,Black Hair,Female Characters,,1,2007
Queen of Hearts III (New Earth),Bad Characters,,,Female Characters,,1,2007
Rebel II (New Earth),Bad Characters,,,Male Characters,,1,2007
Roxanne Snow (New Earth),Neutral Characters,,Red Hair,Female Characters,,1,2007
Seducer (New Earth),Bad Characters,,,Female Characters,,1,2007
Strongarm (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,2007
Thunderer II (New Earth),Bad Characters,,,Male Characters,,1,2007
Barnabus (New Earth),Good Characters,Black Eyes,Brown Hair,Male Characters,,1,2006
Big Thunder (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,Homosexual Characters,1,2006
Blur (New Earth),Bad Characters,,,,,1,2006
Bous3dra (New Earth),Bad Characters,,,Female Characters,,1,2006
Bryony (New Earth),,,Brown Hair,Female Characters,,1,2006
Bulletdog (New Earth),Good Characters,Black Eyes,Brown Hair,Male Characters,,1,2006
Buster (New Earth),Bad Characters,,,,,1,2006
Cilissa (New Earth),,Brown Eyes,Brown Hair,Female Characters,,1,2006
Dynamole (New Earth),Good Characters,,,Male Characters,,1,2006
E.S. Pete (New Earth),Good Characters,,Black Hair,Male Characters,,1,2006
Elaine Curry (New Earth),,,,Female Characters,,1,2006
Eric Trautmann (New Earth),,,Brown Hair,Male Characters,,1,2006
Erik Hanson (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,1,2006
Esteban of the Posse (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,,1,2006
Felicia (New Earth),,,,Female Characters,,1,2006
Fireface (New Earth),Good Characters,,,Male Characters,,1,2006
Gladiator Giant (New Earth),Good Characters,,,Male Characters,,1,2006
Harvest II (New Earth),Bad Characters,,,,,1,2006
Headmaster (New Earth),Bad Characters,,,Male Characters,,1,2006
Henry Knight (New Earth),Good Characters,,Black Hair,Male Characters,,1,2006
Honest Abe (New Earth),Good Characters,,Black Hair,Male Characters,,1,2006
Immortal Bald-Man-in-Armor (New Earth),Good Characters,,,Male Characters,,1,2006
Jack of All Trades (New Earth),Good Characters,,,Male Characters,,1,2006
Jonathan Warrawa (New Earth),,,,Male Characters,,1,2006
Joseph Kline (New Earth),,,,Male Characters,,1,2006
King of Spades VI (New Earth),Bad Characters,,,Male Characters,,1,2006
King of the Cats II (New Earth),Good Characters,,,Male Characters,,1,2006
Lady Liberty II (New Earth),Good Characters,,,Female Characters,,1,2006
Lady Liberty III (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,1,2006
Lance Harrower (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,1,2006
Marisius (New Earth),Bad Characters,,,Male Characters,,1,2006
Mickey the Mouse (New Earth),Good Characters,Black Eyes,White Hair,Male Characters,,1,2006
Mother Zed (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,1,2006
Poledancer (New Earth),Good Characters,,,Female Characters,,1,2006
Quaker (New Earth),Bad Characters,,,,,1,2006
Sapling (New Earth),Bad Characters,,,,,1,2006
Sewer King (New Earth),Bad Characters,,,Male Characters,,1,2006
Shirea Vaas (New Earth),Good Characters,Green Eyes,Black Hair,Female Characters,,1,2006
Silhouette II (New Earth),Bad Characters,,,,,1,2006
Sitra (New Earth),,,Brown Hair,Female Characters,,1,2006
Sparkplug (New Earth),Bad Characters,,Red Hair,Female Characters,,1,2006
Spinner (New Earth),Bad Characters,,,Female Characters,,1,2006
Suli Stellamaris (New Earth),Neutral Characters,Black Eyes,Black Hair,Female Characters,,1,2006
Tekla (New Earth),,,,Female Characters,,1,2006
Terri Thirteen (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,1,2006
Thumbelina (New Earth),Good Characters,,Red Hair,Female Characters,,1,2006
Thunderhand (New Earth),Bad Characters,,,Male Characters,,1,2006
Tornado Ninja (New Earth),Good Characters,,,Male Characters,,1,2006
Uglyhead (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,1,2006
Vitaman (New Earth),Bad Characters,,Blond Hair,Male Characters,,1,2006
Water (New Earth),Bad Characters,,,Genderless Characters,,1,2006
Wicker Man (New Earth),Bad Characters,,,Male Characters,,1,2006
Xolotl (New Earth),Neutral Characters,,,Male Characters,,1,2006
Zbigniew X (New Earth),Neutral Characters,,,Male Characters,,1,2006
Ahmed Samsarra (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,1,2005
Antonio Silencio (New Earth),Neutral Characters,Black Eyes,Black Hair,Male Characters,,1,2005
Boy Blue (New Earth),Bad Characters,,,Male Characters,,1,2005
Captain (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,1,2005
Caradoc (New Earth),Good Characters,Black Eyes,,Male Characters,,1,2005
David Sutabi (New Earth),Bad Characters,,Black Hair,Male Characters,,1,2005
Debra Sinclair (New Earth),Neutral Characters,Blue Eyes,Black Hair,Female Characters,,1,2005
Ebeneezer Badde (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,1,2005
Flex III (New Earth),Bad Characters,,,Male Characters,,1,2005
Guilt (New Earth),Bad Characters,Green Eyes,Blue Hair,Genderless Characters,,1,2005
High-Rise (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,1,2005
Lagomorph (New Earth),Bad Characters,,Blond Hair,Female Characters,,1,2005
Little B.U.D.D.Y. (New Earth),Bad Characters,,,Male Characters,,1,2005
Morass (New Earth),Bad Characters,,,Male Characters,,1,2005
Nobody (New Earth),Neutral Characters,,Blond Hair,Male Characters,,1,2005
Oksana Verchenko (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,1,2005
Patricia Grace-Colby (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,1,2005
Purple Pilgrim (New Earth),Bad Characters,,Black Hair,Male Characters,,1,2005
Samuel Benjamin (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,2005
Soapy (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,,1,2005
Tech-Fu (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,1,2005
Thought Terror (New Earth),Bad Characters,,,Male Characters,,1,2005
Tigris (New Earth),Bad Characters,Black Eyes,,Female Characters,,1,2005
White Willow (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,1,2005
Wunda (New Earth),Bad Characters,,Black Hair,Female Characters,,1,2005
Arnold Locane (New Earth),,,,Male Characters,,1,2004
Carol Erikson (New Earth),,,Brown Hair,Female Characters,,1,2004
James Wright (New Earth),Good Characters,,Brown Hair,Male Characters,,1,2004
Louis Erikson (New Earth),,,Brown Hair,Male Characters,,1,2004
Precious (New Earth),Bad Characters,Green Eyes,Red Hair,Female Characters,,1,2004
Scratch (New Earth),Good Characters,,Red Hair,Male Characters,,1,2004
Sheila Carr (New Earth),Good Characters,,Black Hair,Female Characters,,1,2004
Steel Fang (New Earth),Bad Characters,,,Male Characters,,1,2004
Althea (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,1,2003
Amok (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,1,2003
Catalyn (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,1,2003
Dennap (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,,1,2003
Koenraad Von Grimm (New Earth),Good Characters,,Brown Hair,Male Characters,,1,2003
Macaria (New Earth),Good Characters,,Blond Hair,Female Characters,,1,2003
Marlus Randone (New Earth),Good Characters,,Brown Hair,Male Characters,,1,2003
Martin Somers (New Earth),Bad Characters,Blue Eyes,,Male Characters,,1,2003
Mourn II (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,2003
Paul Proch (New Earth),,,White Hair,Male Characters,,1,2003
Rudyon (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,1,2003
Three of Diamonds I (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,2003
Trey Hartley (New Earth),Good Characters,,Blond Hair,Male Characters,,1,2003
Bloque (New Earth),Bad Characters,,,Male Characters,,1,2002
Buckeye (New Earth),Good Characters,,Red Hair,Male Characters,,1,2002
David DeVille (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,1,2002
Dickson Kurata (New Earth),Bad Characters,,White Hair,Male Characters,,1,2002
Eliza (New Earth),Bad Characters,,Black Hair,Female Characters,,1,2002
Jack Monteleone (New Earth),Bad Characters,,Black Hair,Male Characters,,1,2002
Jack of Clubs II (New Earth),Bad Characters,,,Male Characters,,1,2002
Jack of Hearts I (New Earth),Bad Characters,,,Male Characters,,1,2002
James Stark (New Earth),Bad Characters,,White Hair,Male Characters,,1,2002
Joe Hollywood (New Earth),Good Characters,,,Male Characters,,1,2002
King of Hearts I (New Earth),Bad Characters,,,Male Characters,,1,2002
King of Spades IV (New Earth),Bad Characters,Black Eyes,Blond Hair,Male Characters,,1,2002
Larvanaut (New Earth),Bad Characters,,,Male Characters,,1,2002
Meat Cleaver (New Earth),Bad Characters,Green Eyes,Brown Hair,Male Characters,,1,2002
Muhammad X (New Earth),Good Characters,,Black Hair,Male Characters,,1,2002
Nyrese (New Earth),Good Characters,,Brown Hair,Female Characters,,1,2002
Putty (New Earth),Bad Characters,,,Male Characters,,1,2002
Queen of Hearts II (New Earth),Bad Characters,,,Female Characters,,1,2002
Shadower II (New Earth),Bad Characters,,White Hair,Male Characters,,1,2002
Stigmonus (New Earth),Bad Characters,Red Eyes,,Male Characters,,1,2002
Summer Gleeson (New Earth),Good Characters,,,Female Characters,,1,2002
Two of Hearts I (New Earth),Bad Characters,,,Female Characters,,1,2002
Tycho (New Earth),Bad Characters,,,Male Characters,,1,2002
Vartan Kevork (New Earth),Bad Characters,,,Male Characters,,1,2002
Virago (New Earth),Good Characters,,White Hair,Female Characters,,1,2002
Canis Minor (New Earth),Bad Characters,,,Male Characters,,1,2001
Captain Squidd (New Earth),Bad Characters,,,Male Characters,,1,2001
Carver Malone (New Earth),Bad Characters,,Black Hair,Male Characters,,1,2001
Ericht (New Earth),Bad Characters,,Blond Hair,Male Characters,,1,2001
Laris (New Earth),Good Characters,,,Female Characters,,1,2001
Marge Dover (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,1,2001
Max Tuefeld (New Earth),,,Brown Hair,Male Characters,,1,2001
Mudge (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,1,2001
Oya (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,1,2001
Ratira (New Earth),Good Characters,,Black Hair,Female Characters,,1,2001
Sirius (New Earth),Neutral Characters,Yellow Eyes,Red Hair,Male Characters,,1,2001
Stormfront (New Earth),Bad Characters,,,Male Characters,,1,2001
Warjack (New Earth),Bad Characters,,,Male Characters,,1,2001
Barin Char (New Earth),Good Characters,Black Eyes,,Male Characters,,1,2000
Colonel Glory (New Earth),Good Characters,,,Male Characters,,1,2000
Doll Man II (New Earth),Good Characters,,,Male Characters,,1,2000
Duran (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,1,2000
El Lobizon (New Earth),Good Characters,Black Eyes,Brown Hair,Male Characters,,1,2000
Eve Teschmacher (New Earth),Neutral Characters,,Brown Hair,Female Characters,,1,2000
Girth (New Earth),Bad Characters,,,Male Characters,,1,2000
Gualicho (New Earth),Bad Characters,,,Male Characters,,1,2000
Joatt (New Earth),Good Characters,,Blond Hair,Male Characters,,1,2000
Kittyhawk (New Earth),Bad Characters,,Black Hair,Female Characters,,1,2000
Lakutha (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,1,2000
Laura Klein (New Earth),,,Black Hair,Female Characters,,1,2000
Metalhead II (New Earth),Bad Characters,Brown Eyes,Red Hair,Male Characters,,1,2000
Napalm II (New Earth),Bad Characters,,Black Hair,Male Characters,,1,2000
Pampero (New Earth),Good Characters,,,Male Characters,,1,2000
Rosemary Fields (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,1,2000
Skeleton (New Earth),Bad Characters,,,,,1,2000
Tengu II (New Earth),Bad Characters,,,Male Characters,,1,2000
Tusk (New Earth),Bad Characters,,,Male Characters,,1,2000
Zac Ares Bandet (New Earth),Good Characters,Blue Eyes,,Male Characters,,1,2000
Audrey Lee (New Earth),Good Characters,,Grey Hair,Female Characters,,1,1999
Bad Grrl (New Earth),Bad Characters,,Black Hair,Female Characters,,1,1999
Bitter Ruth (New Earth),Bad Characters,,Blond Hair,Female Characters,,1,1999
Blithe (New Earth),Good Characters,,Black Hair,Female Characters,,1,1999
Bobby Gazzo (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,1,1999
Buzzword (New Earth),Bad Characters,White Eyes,Blond Hair,Female Characters,,1,1999
Colby Zag (New Earth),Bad Characters,,,Male Characters,,1,1999
Constance Hollis (New Earth),Bad Characters,,Brown Hair,Female Characters,,1,1999
Crazytop (New Earth),Bad Characters,,,Male Characters,,1,1999
Cybersaw (New Earth),Bad Characters,,,Male Characters,,1,1999
Cythonna (New Earth),Bad Characters,White Eyes,White Hair,Female Characters,,1,1999
Dartagnan (New Earth),Bad Characters,,Red Hair,Male Characters,,1,1999
Deadfall II (New Earth),Bad Characters,,,Male Characters,,1,1999
Doctor Omega (New Earth),Bad Characters,,Red Hair,Male Characters,,1,1999
Dome (New Earth),Bad Characters,,Black Hair,Male Characters,,1,1999
Echielias (New Earth),Good Characters,Red Eyes,Grey Hair,Male Characters,,1,1999
Gorbzil Mammit (New Earth),Good Characters,Hazel Eyes,Black Hair,Male Characters,,1,1999
Grover Cleveland (New Earth),Good Characters,,Brown Hair,Male Characters,,1,1999
Hearse (New Earth),Bad Characters,,,Male Characters,,1,1999
Heraphon (New Earth),Good Characters,Red Eyes,Grey Hair,Male Characters,,1,1999
Illuminata (New Earth),Bad Characters,Green Eyes,Blond Hair,Female Characters,,1,1999
Miss Gsptlsnz (New Earth),,,Red Hair,Female Characters,,1,1999
Nurse Maggit (New Earth),Bad Characters,Red Eyes,,Female Characters,,1,1999
Piton II (New Earth),Bad Characters,,,Male Characters,,1,1999
Psykosis (New Earth),Bad Characters,,,Male Characters,,1,1999
Red Dart (New Earth),Bad Characters,,Red Hair,Male Characters,,1,1999
Rrall (New Earth),Good Characters,Red Eyes,Grey Hair,Male Characters,,1,1999
Sir Real (New Earth),Bad Characters,,Blue Hair,Male Characters,,1,1999
Tora (New Earth),Bad Characters,Brown Eyes,Black Hair,Female Characters,,1,1999
Vestina (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,1,1999
William Riley (New Earth),,Blue Eyes,Grey Hair,Male Characters,,1,1999
Aaron Hayley (New Earth),Good Characters,,,Male Characters,,1,1998
Acidia (New Earth),Bad Characters,Red Eyes,Blond Hair,Female Characters,,1,1998
Adder (New Earth),Bad Characters,,,Male Characters,,1,1998
Alexis (New Earth),,,,Female Characters,,1,1998
Andrew Johnson (New Earth),Good Characters,,,Male Characters,,1,1998
Becky Albright (New Earth),Good Characters,Hazel Eyes,Brown Hair,Female Characters,,1,1998
Bookworm III (New Earth),Bad Characters,,Brown Hair,Female Characters,,1,1998
Carnivore (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,1,1998
Crackle (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1998
Dark (New Earth),Bad Characters,,,Male Characters,,1,1998
Dimita (New Earth),,,Black Hair,Female Characters,,1,1998
Kid Emotion (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,1,1998
Manx (New Earth),Good Characters,,,Female Characters,,1,1998
Michael Patten (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,1,1998
Mister Action (New Earth),Good Characters,,Black Hair,Male Characters,,1,1998
Peter Malley (New Earth),Bad Characters,Black Eyes,,Male Characters,,1,1998
Phantos (New Earth),Good Characters,Red Eyes,,,,1,1998
Pom Pom Girl (New Earth),Bad Characters,,Blond Hair,Female Characters,,1,1998
Prom Queen (New Earth),Bad Characters,Brown Eyes,Black Hair,Female Characters,,1,1998
Radiant II (New Earth),Bad Characters,,,Male Characters,,1,1998
Retro (New Earth),Good Characters,,Blond Hair,Male Characters,,1,1998
Rip Roar (New Earth),Bad Characters,Red Eyes,Strawberry Blond Hair,Male Characters,,1,1998
Robert Smith (New Earth),Good Characters,,Grey Hair,Male Characters,,1,1998
Sharpe (New Earth),Bad Characters,,,Male Characters,,1,1998
Simone (New Earth),,,,Female Characters,,1,1998
Song Bird (New Earth),Good Characters,,Black Hair,Female Characters,,1,1998
Termina (New Earth),Bad Characters,,,Female Characters,,1,1998
Thaddeus Hoskins (New Earth),Bad Characters,,,Male Characters,,1,1998
3g4 (New Earth),Good Characters,,,Male Characters,,1,1997
Aimee DeWitt (New Earth),,,Brown Hair,Female Characters,,1,1997
Althesia (New Earth),Good Characters,,Brown Hair,Female Characters,,1,1997
Andrea Martinez (New Earth),Good Characters,,,Male Characters,,1,1997
Andrew McFee (New Earth),Bad Characters,,Red Hair,Male Characters,,1,1997
Ariadne of the Blue Guard (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,1,1997
AWOL (New Earth),Bad Characters,,Black Hair,Male Characters,,1,1997
Bloodhound (New Earth),Bad Characters,,Black Hair,Male Characters,,1,1997
David Mancini (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,1,1997
Deathgrip (New Earth),Bad Characters,,,Male Characters,,1,1997
Dell Merriwether (New Earth),Bad Characters,,,Male Characters,,1,1997
Donald Sullivan (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1997
Earl Povich (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,1,1997
Fangg (Post-Zero Hour),Bad Characters,,,Male Characters,,1,1997
Franklin Pierce (New Earth),Good Characters,,Black Hair,Male Characters,,1,1997
Hannibal Hawk (New Earth),Good Characters,,Black Hair,Male Characters,,1,1997
Hathak (New Earth),Bad Characters,,Black Hair,Male Characters,,1,1997
Hector Ramirez (New Earth),Good Characters,,,Male Characters,,1,1997
Hoppy (New Earth),Good Characters,Blue Eyes,Pink Hair,Male Characters,,1,1997
Inkling (New Earth),Bad Characters,,,Male Characters,,1,1997
Isaac Fisher (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,1,1997
Jasper Dolan (New Earth),Neutral Characters,Blue Eyes,Grey Hair,Male Characters,,1,1997
Jimmy Murphy (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1997
Kevin Kelly (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1997
Luca Mareli (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1997
Mawu (New Earth),Neutral Characters,Brown Eyes,Black Hair,Female Characters,,1,1997
Mickey Sullivan (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1997
Millie (New Earth),Good Characters,Blue Eyes,Pink Hair,Female Characters,,1,1997
Mister Finish (New Earth),Bad Characters,Red Eyes,Brown Hair,Male Characters,,1,1997
Mister Frost (New Earth),Bad Characters,Red Eyes,White Hair,Male Characters,,1,1997
Nikolai Karpov (New Earth),Bad Characters,,,Male Characters,,1,1997
Ohiyesa II (New Earth),Good Characters,,Black Hair,Male Characters,,1,1997
Output (New Earth),Bad Characters,,,Male Characters,,1,1997
Override (New Earth),Bad Characters,,,Male Characters,,1,1997
Peter Ostine (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,1,1997
Richard Malverne (New Earth),Neutral Characters,Blue Eyes,Red Hair,Male Characters,,1,1997
Rockslide (Post-Zero Hour),Bad Characters,,,Male Characters,,1,1997
Scareware (New Earth),Bad Characters,,,Male Characters,,1,1997
Sergeant Mack (New Earth),Good Characters,Blue Eyes,,Male Characters,,1,1997
Silas Kent (New Earth),Good Characters,,White Hair,Male Characters,,1,1997
Tattoo II (New Earth),Bad Characters,,Blond Hair,Female Characters,,1,1997
Topkick (New Earth),Bad Characters,,,Male Characters,,1,1997
Twilight II (New Earth),Bad Characters,Blue Eyes,White Hair,Female Characters,Homosexual Characters,1,1997
Vincent Falcone (New Earth),Bad Characters,,Grey Hair,Male Characters,,1,1997
Ace of Clubs (Arcana) (New Earth),Bad Characters,,Black Hair,Male Characters,,1,1996
Ace of Diamonds (Arcana) (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1996
Ace of Hearts (Arcana) (New Earth),Bad Characters,,Grey Hair,Female Characters,,1,1996
Arashi Ohashi (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,1,1996
Bloodtype (New Earth),Bad Characters,,,Male Characters,,1,1996
Cockatoo (New Earth),Bad Characters,,,Female Characters,,1,1996
Curtis Falconer (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1996
Darkstorm (New Earth),Bad Characters,,,Male Characters,,1,1996
Eckstein (New Earth),Bad Characters,,,Male Characters,,1,1996
Fong (New Earth),Bad Characters,,Black Hair,Male Characters,,1,1996
Ironbolt (New Earth),Bad Characters,,Red Hair,Male Characters,,1,1996
Karrion (New Earth),Bad Characters,,,Male Characters,,1,1996
Michael Adams (New Earth),,,,Male Characters,,1,1996
Mindy Falconer (New Earth),Bad Characters,,Brown Hair,Female Characters,,1,1996
Mink (New Earth),Bad Characters,,,Male Characters,,1,1996
Myst (New Earth),Good Characters,,Black Hair,Female Characters,,1,1996
Panzer (New Earth),Bad Characters,,,Male Characters,,1,1996
Phillipe Mouton (New Earth),Bad Characters,,,Male Characters,,1,1996
Poltergeist (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,1,1996
Richard Daniel (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,1,1996
Richard Dunston (New Earth),Bad Characters,,Red Hair,Male Characters,,1,1996
Tarant (New Earth),Good Characters,,,Male Characters,,1,1996
Thrax (New Earth),Neutral Characters,,,Male Characters,,1,1996
Wallace Johnson (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,1,1996
Wardog (New Earth),Bad Characters,,,Male Characters,,1,1996
Abner Girdler (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1995
Ace of Spades (Arcana) (New Earth),Bad Characters,,Blond Hair,Male Characters,,1,1995
Adrian Wentworth (New Earth),Bad Characters,,,Male Characters,,1,1995
Adrian Zapruder (New Earth),Neutral Characters,,White Hair,Male Characters,,1,1995
Buna (New Earth),,Blue Eyes,Black Hair,Female Characters,,1,1995
Chillblaine III (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,1,1995
Clay Irons (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,1,1995
Doctor Spectron (New Earth),Bad Characters,,,Male Characters,,1,1995
Duality (New Earth),Bad Characters,,,Male Characters,,1,1995
Firebomb (New Earth),Bad Characters,,,Male Characters,,1,1995
Gaia (New Earth),Good Characters,,,Female Characters,,1,1995
Herbert Johnson (New Earth),Bad Characters,,Black Hair,Male Characters,,1,1995
Indigo (New Earth),Good Characters,,Black Hair,Male Characters,,1,1995
Kalibre (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,,1,1995
Killrok (New Earth),Bad Characters,,,Male Characters,,1,1995
Lighter Man (New Earth),Bad Characters,,Black Hair,Male Characters,,1,1995
Master Mayhem (New Earth),Bad Characters,,,Male Characters,,1,1995
Miles Duncan (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,1,1995
Mountain Man (New Earth),Bad Characters,,Brown Hair,Male Characters,,1,1995
Mourn (New Earth),Bad Characters,,,Male Characters,,1,1995
Onassis Sklar (New Earth),,,Brown Hair,Male Characters,,1,1995
Percival Pill (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,1,1995
Pierce I (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,,1,1995
Piton I (New Earth),Bad Characters,,Blond Hair,Female Characters,,1,1995
Prince Inferno (New Earth),Bad Characters,,,Male Characters,,1,1995
Steven Kernahan (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,1,1995
Thomas Raymond Chatham (New Earth),,Green Eyes,Brown Hair,Male Characters,,1,1995
